Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
80,300,255,300,0.85
81,300,252,300,0.84
82,300,238,300,0.7933333333333333
83,300,244,300,0.8133333333333334
84,300,256,300,0.8533333333333334
85,300,243,300,0.81
86,300,247,300,0.8233333333333334
87,300,246,300,0.82
88,300,242,300,0.8066666666666666
89,300,242,300,0.8066666666666666
90,300,236,300,0.7866666666666666
91,300,236,300,0.7866666666666666
92,300,235,300,0.7833333333333333
93,300,250,300,0.8333333333333334
94,300,249,300,0.83
95,300,256,300,0.8533333333333334
96,300,246,300,0.82
97,300,248,300,0.8266666666666667
98,300,241,300,0.8033333333333333
99,300,240,300,0.8
100,300,242,300,0.8066666666666666
101,300,241,300,0.8033333333333333
102,300,240,300,0.8
103,300,249,300,0.83
104,300,252,300,0.84
105,300,245,300,0.8166666666666667
106,300,254,300,0.8466666666666667
107,300,244,300,0.8133333333333334
108,300,252,300,0.84
109,300,258,300,0.86
110,300,249,300,0.83
111,300,252,300,0.84
112,300,252,300,0.84
113,300,259,300,0.8633333333333333
114,300,250,300,0.8333333333333334
115,300,254,300,0.8466666666666667
116,300,254,300,0.8466666666666667
117,300,244,300,0.8133333333333334
118,300,243,300,0.81
119,300,247,300,0.8233333333333334
120,300,256,300,0.8533333333333334
121,300,255,300,0.85
122,300,258,300,0.86
123,300,253,300,0.8433333333333334
124,300,252,300,0.84
125,300,251,300,0.8366666666666667
126,300,255,300,0.85
127,300,257,300,0.8566666666666667
128,300,255,300,0.85
129,300,263,300,0.8766666666666667
130,300,250,300,0.8333333333333334
131,300,257,300,0.8566666666666667
132,300,259,300,0.8633333333333333
133,300,263,300,0.8766666666666667
134,300,258,300,0.86
135,300,264,300,0.88
136,300,263,300,0.8766666666666667
137,300,272,300,0.9066666666666666
138,300,255,300,0.85
139,300,256,300,0.8533333333333334
140,300,265,300,0.8833333333333333
141,300,253,300,0.8433333333333334
142,300,255,300,0.85
143,300,259,300,0.8633333333333333
144,300,244,300,0.8133333333333334
145,300,253,300,0.8433333333333334
146,300,253,300,0.8433333333333334
147,300,259,300,0.8633333333333333
148,300,248,300,0.8266666666666667
149,300,240,300,0.8
150,300,242,300,0.8066666666666666
151,300,242,300,0.8066666666666666
152,300,242,300,0.8066666666666666
153,300,251,300,0.8366666666666667
154,300,257,300,0.8566666666666667
155,300,246,300,0.82
156,300,248,300,0.8266666666666667
157,300,245,300,0.8166666666666667
158,300,244,300,0.8133333333333334
159,300,249,300,0.83
160,300,252,300,0.84
161,300,261,300,0.87
162,300,255,300,0.85
163,300,262,300,0.8733333333333333
164,300,250,300,0.8333333333333334
165,300,254,300,0.8466666666666667
166,300,246,300,0.82
167,300,237,300,0.79
168,300,245,300,0.8166666666666667
169,300,248,300,0.8266666666666667
170,300,252,300,0.84
171,300,255,300,0.85
172,300,252,300,0.84
173,300,245,300,0.8166666666666667
174,300,250,300,0.8333333333333334
175,300,254,300,0.8466666666666667
176,300,247,300,0.8233333333333334
177,300,243,300,0.81
178,300,243,300,0.81
179,300,245,300,0.8166666666666667
180,300,254,300,0.8466666666666667
181,300,248,300,0.8266666666666667
182,300,251,300,0.8366666666666667
183,300,253,300,0.8433333333333334
184,300,253,300,0.8433333333333334
185,300,251,300,0.8366666666666667
186,300,257,300,0.8566666666666667
187,300,246,300,0.82
188,300,257,300,0.8566666666666667
189,300,264,300,0.88
190,300,258,300,0.86
191,300,251,300,0.8366666666666667
192,300,258,300,0.86
193,300,245,300,0.8166666666666667
194,300,250,300,0.8333333333333334
195,300,249,300,0.83
196,300,257,300,0.8566666666666667
197,300,251,300,0.8366666666666667
198,300,247,300,0.8233333333333334
199,300,249,300,0.83
200,300,247,300,0.8233333333333334
201,300,256,300,0.8533333333333334
202,300,250,300,0.8333333333333334
203,300,242,300,0.8066666666666666
