# time_ps largest_cluster_rg_nm
11600000.000000 0.2927947567
11650000.000000 0.3136201983
11700000.000000 0.2999408466
11750000.000000 0.2871868427
11800000.000000 0.3069585210
11850000.000000 0.3081710293
11900000.000000 0.3161755520
11950000.000000 0.2992468675
12000000.000000 0.3117370431
12050000.000000 0.3031451172
12100000.000000 0.3106749769
12150000.000000 0.2949497585
12200000.000000 0.2986985995
12250000.000000 0.3104750243
12300000.000000 0.3106948842
12350000.000000 0.3027219253
12400000.000000 0.3041067187
12450000.000000 0.2962999390
12500000.000000 0.3029645470
12550000.000000 0.3076495927
12600000.000000 0.3154115856
12650000.000000 0.3161878010
12700000.000000 0.2949779614
12750000.000000 0.3064938372
12800000.000000 0.3136908464
12850000.000000 0.3078172349
12900000.000000 0.3230847225
12950000.000000 0.2971172455
13000000.000000 0.3082191637
13050000.000000 0.3025567357
13100000.000000 0.3156430852
13150000.000000 0.3215594005
13200000.000000 0.3045117255
13250000.000000 0.3039001745
13300000.000000 0.3009748792
13350000.000000 0.3154799324
13400000.000000 0.3194731719
13450000.000000 0.3150328168
13500000.000000 0.3020591354
13550000.000000 0.3015409861
13600000.000000 0.3112467931
13650000.000000 0.3158771947
13700000.000000 0.2960031076
13750000.000000 0.2985501451
13800000.000000 0.3020898911
13850000.000000 0.2982205594
13900000.000000 0.3009425617
13950000.000000 0.2964518958
14000000.000000 0.3115371760
14050000.000000 0.3137004481
14100000.000000 0.2998613039
14150000.000000 0.3077272880
14200000.000000 0.3163245777
14250000.000000 0.3276725928
14300000.000000 0.3177165941
14350000.000000 0.3008925397
14400000.000000 0.2937070452
14450000.000000 0.2795404845
14500000.000000 0.2888343521
14550000.000000 0.3027806550
14600000.000000 0.3125395600
14650000.000000 0.2962987798
14700000.000000 0.2916462127
14750000.000000 0.3021812589
14800000.000000 0.3190724479
14850000.000000 0.2956655669
14900000.000000 0.2966026861
14950000.000000 0.3014208762
15000000.000000 0.2938098463
15050000.000000 0.2885144343
15100000.000000 0.3020039918
15150000.000000 0.2997907756
15200000.000000 0.3162966561
15250000.000000 0.2998118184
15300000.000000 0.3105552241
15350000.000000 0.2938391898
15400000.000000 0.2952545102
15450000.000000 0.2987074992
15500000.000000 0.3032236307
15550000.000000 0.2877624254
15600000.000000 0.2947630452
15650000.000000 0.2979915378
15700000.000000 0.3101109457
15750000.000000 0.3212676899
15800000.000000 0.3052535443
15850000.000000 0.3073466148
15900000.000000 0.2942246208
15950000.000000 0.3028319199
16000000.000000 0.2937019437
16050000.000000 0.2897103948
16100000.000000 0.3020879607
16150000.000000 0.3081872633
16200000.000000 0.3108365567
16250000.000000 0.3213421005
16300000.000000 0.3127882338
16350000.000000 0.3113968196
16400000.000000 0.2982710118
16450000.000000 0.2987729383
16500000.000000 0.3064789092
16550000.000000 0.3146971033
16600000.000000 0.3223941213
16650000.000000 0.3158391100
16700000.000000 0.3126108515
16750000.000000 0.3141224295
16800000.000000 0.3211788412
16850000.000000 0.3072267133
16900000.000000 0.3049970109
16950000.000000 0.3042193724
17000000.000000 0.3024354844
17050000.000000 0.3202139986
17100000.000000 0.2952617511
17150000.000000 0.3223558755
17200000.000000 0.3308640355
17250000.000000 0.3234577385
17300000.000000 0.3179234512
17350000.000000 0.3203690757
17400000.000000 0.3181150900
17450000.000000 0.2923807749
17500000.000000 0.2902857097
17550000.000000 0.3031757201
17600000.000000 0.3131742450
17650000.000000 0.3111743050
17700000.000000 0.3088970377
17750000.000000 0.3040185215
17800000.000000 0.2936546422
17850000.000000 0.3083844276
17900000.000000 0.3106716034
17950000.000000 0.2932917860
18000000.000000 0.2911549194
18050000.000000 0.3115971920
18100000.000000 0.3015845148
18150000.000000 0.2862405272
18200000.000000 0.2868769426
18250000.000000 0.3042302817
18300000.000000 0.2897679060
18350000.000000 0.2966015993
18400000.000000 0.3015640213
18450000.000000 0.2921301877
18500000.000000 0.3081619559
18550000.000000 0.2878986715
18600000.000000 0.2953404867
18650000.000000 0.2912677439
18700000.000000 0.2947419804
18750000.000000 0.2957277787
18800000.000000 0.2958825907
18850000.000000 0.3097432273
18900000.000000 0.3130179813
18950000.000000 0.2979779674
19000000.000000 0.2889097760
19050000.000000 0.2982481613
19100000.000000 0.2885171082
19150000.000000 0.2946309271
19200000.000000 0.2867654310
19250000.000000 0.3086135177
19300000.000000 0.3028454410
19350000.000000 0.2946423061
19400000.000000 0.3070617899
19450000.000000 0.3137697008
19500000.000000 0.3073532701
19550000.000000 0.2921565799
19600000.000000 0.2934040630
19650000.000000 0.3093542676
19700000.000000 0.3099357792
19750000.000000 0.3031403132
19800000.000000 0.2983040052
19850000.000000 0.2992584283
19900000.000000 0.2991817936
19950000.000000 0.2927363512
20000000.000000 0.2945053863
