# time cluster_size count
2400000.000000 584 1
2450000.000000 1 19
2450000.000000 581 1
2500000.000000 1 17
2500000.000000 2 1
2500000.000000 581 1
2550000.000000 1 15
2550000.000000 2 3
2550000.000000 579 1
2600000.000000 1 20
2600000.000000 2 1
2600000.000000 578 1
2650000.000000 1 20
2650000.000000 2 1
2650000.000000 578 1
2700000.000000 1 22
2700000.000000 2 2
2700000.000000 574 1
2750000.000000 1 19
2750000.000000 2 1
2750000.000000 3 1
2750000.000000 576 1
2800000.000000 1 23
2800000.000000 2 3
2800000.000000 571 1
2850000.000000 1 20
2850000.000000 2 1
2850000.000000 578 1
2900000.000000 1 23
2900000.000000 2 1
2900000.000000 575 1
2950000.000000 1 21
2950000.000000 2 2
2950000.000000 575 1
3000000.000000 1 23
3000000.000000 2 3
3000000.000000 571 1
3050000.000000 1 21
3050000.000000 2 3
3050000.000000 573 1
3100000.000000 1 24
3100000.000000 2 1
3100000.000000 574 1
3150000.000000 1 16
3150000.000000 2 4
3150000.000000 576 1
3200000.000000 1 19
3200000.000000 2 4
3200000.000000 573 1
3250000.000000 1 26
3250000.000000 2 1
3250000.000000 572 1
3300000.000000 1 24
3300000.000000 2 1
3300000.000000 574 1
3350000.000000 1 15
3350000.000000 2 5
3350000.000000 3 1
3350000.000000 572 1
3400000.000000 1 19
3400000.000000 2 4
3400000.000000 573 1
3450000.000000 1 19
3450000.000000 2 3
3450000.000000 575 1
3500000.000000 1 19
3500000.000000 2 2
3500000.000000 577 1
3550000.000000 1 20
3550000.000000 2 3
3550000.000000 574 1
3600000.000000 1 24
3600000.000000 2 2
3600000.000000 572 1
3650000.000000 1 24
3650000.000000 576 1
3700000.000000 1 19
3700000.000000 2 3
3700000.000000 575 1
3750000.000000 1 26
3750000.000000 574 1
3800000.000000 1 21
3800000.000000 2 2
3800000.000000 3 1
3800000.000000 572 1
3850000.000000 1 26
3850000.000000 574 1
3900000.000000 1 26
3900000.000000 2 1
3900000.000000 572 1
3950000.000000 1 23
3950000.000000 2 4
3950000.000000 569 1
4000000.000000 1 18
4000000.000000 2 5
4000000.000000 3 1
4000000.000000 569 1
4050000.000000 1 22
4050000.000000 2 2
4050000.000000 3 1
4050000.000000 571 1
4100000.000000 1 25
4100000.000000 2 2
4100000.000000 3 1
4100000.000000 568 1
4150000.000000 1 20
4150000.000000 2 2
4150000.000000 3 1
4150000.000000 573 1
4200000.000000 1 20
4200000.000000 2 3
4200000.000000 3 1
4200000.000000 571 1
4250000.000000 1 23
4250000.000000 2 1
4250000.000000 575 1
4300000.000000 1 25
4300000.000000 2 2
4300000.000000 3 1
4300000.000000 568 1
4350000.000000 1 23
4350000.000000 2 5
4350000.000000 567 1
4400000.000000 1 27
4400000.000000 2 3
4400000.000000 567 1
4450000.000000 1 25
4450000.000000 2 4
4450000.000000 567 1
4500000.000000 1 22
4500000.000000 2 3
4500000.000000 3 1
4500000.000000 569 1
4550000.000000 1 15
4550000.000000 2 5
4550000.000000 3 1
4550000.000000 572 1
4600000.000000 1 14
4600000.000000 2 3
4600000.000000 3 3
4600000.000000 571 1
4650000.000000 1 22
4650000.000000 2 3
4650000.000000 3 1
4650000.000000 569 1
4700000.000000 1 26
4700000.000000 2 1
4700000.000000 3 1
4700000.000000 569 1
4750000.000000 1 23
4750000.000000 2 1
4750000.000000 3 1
4750000.000000 4 1
4750000.000000 568 1
4800000.000000 1 18
4800000.000000 2 4
4800000.000000 3 1
4800000.000000 571 1
4850000.000000 1 23
4850000.000000 2 2
4850000.000000 3 1
4850000.000000 570 1
4900000.000000 1 19
4900000.000000 2 2
4900000.000000 3 2
4900000.000000 571 1
4950000.000000 1 24
4950000.000000 2 2
4950000.000000 4 1
4950000.000000 568 1
5000000.000000 1 22
5000000.000000 2 3
5000000.000000 572 1
5050000.000000 1 23
5050000.000000 2 2
5050000.000000 573 1
5100000.000000 1 18
